j,strategy,delta,se,p_up,p_down,n1
23,minervini_volume_dryup,-0.2954522104270742,0.22180452204675938,0.9085762664455568,0.09142373355444325,2628
24,minervini_volume_dryup,0.298678103125148,0.21464802216248643,0.08204019080616899,0.917959809193831,2626
25,minervini_volume_dryup,0.46200924376829144,0.20962258284472307,0.01376199235774902,0.986238007642251,2633
26,minervini_volume_dryup,0.2739731912827898,0.21887948553428266,0.10533815178856129,0.8946618482114387,2625
27,minervini_volume_dryup,-0.2705893366337237,0.21897518637708024,0.8917163936295964,0.10828360637040357,2633
28,minervini_volume_dryup,-0.24973881711612467,0.2180289758915253,0.8739862534660496,0.12601374653395034,2622
29,minervini_volume_dryup,-0.19927239190593776,0.21501350485425444,0.8229822420793411,0.17701775792065888,2623
30,minervini_volume_dryup,-0.0641909563021972,0.20371523309842712,0.6236576693558198,0.37634233064418027,2624
31,minervini_volume_dryup,-0.13234674476979716,0.2165026844434849,0.7294974466123231,0.2705025533876769,2627
32,minervini_volume_dryup,-0.05340808341797935,0.21000720158901948,0.6003740813244328,0.3996259186755672,2628
33,minervini_volume_dryup,-0.16850816116969136,0.21893350382080168,0.7792543483492749,0.22074565165072507,2626
34,minervini_volume_dryup,-0.003999911460582067,0.21713904114375632,0.5073484876252448,0.49265151237475524,2625
35,minervini_volume_dryup,-0.06961363779009144,0.220102520900275,0.6241043367347489,0.3758956632652512,2629
36,minervini_volume_dryup,-0.10471953626540705,0.2118004749903163,0.6894971131672288,0.31050288683277116,2625
37,minervini_volume_dryup,0.18696201061164264,0.21099519769435188,0.18778288649987934,0.8122171135001207,2630
38,minervini_volume_dryup,-0.13624979216766542,0.20529306616419946,0.7465538163574247,0.2534461836425753,2629
39,minervini_volume_dryup,0.18024545548997634,0.23191348224553146,0.21851746968916966,0.7814825303108304,2624
40,minervini_volume_dryup,0.45730790769114915,0.2260607101450875,0.021539517631545792,0.9784604823684542,2625
41,minervini_volume_dryup,0.03174627852346308,0.20858307207462315,0.43951471995876173,0.5604852800412383,2629
42,minervini_volume_dryup,-0.13905275028390565,0.21570672183484366,0.7404190991319106,0.2595809008680893,2628
43,minervini_volume_dryup,0.33058095406058535,0.23902331354851697,0.08332492139533353,0.9166750786046665,2630
