board,rep,strategy,n_lots,n_open_excl,mean_net_pct,win_rate,net_won_mean,n_replaced,n_dropped,dup_pi,dup_real
main,84,book_pullback_ma20,17895,121,-0.14694,0.397765,-1423,8096,0,986,8209
main,85,book_pullback_ma20,17898,118,-0.065884,0.401218,-603,8200,0,983,8314
main,86,book_pullback_ma20,17907,109,-0.15461,0.404535,-1541,8283,0,984,8401
main,87,book_pullback_ma20,17917,99,-0.123879,0.40749,-1205,8198,0,964,8304
main,88,book_pullback_ma20,17908,108,-0.171596,0.408086,-1688,8180,0,981,8308
main,89,book_pullback_ma20,17882,134,0.158712,0.413209,1614,7971,0,996,8106
main,90,book_pullback_ma20,17912,104,-0.098059,0.407436,-947,8581,0,968,8694
main,91,book_pullback_ma20,17914,102,-0.223693,0.401697,-2187,8030,0,975,8155
main,92,book_pullback_ma20,17910,106,0.175056,0.406309,1775,8103,0,980,8239
main,93,book_pullback_ma20,17915,101,-0.005233,0.408094,-55,8320,0,980,8414
main,94,book_pullback_ma20,17905,111,-0.073746,0.405362,-713,8316,0,985,8417
main,95,book_pullback_ma20,17890,126,0.020609,0.408496,226,8452,0,953,8548
main,96,book_pullback_ma20,17887,129,0.040189,0.408844,459,8161,0,995,8252
main,97,book_pullback_ma20,17905,111,-0.131042,0.402346,-1291,8412,0,965,8502
main,98,book_pullback_ma20,17891,125,-0.136092,0.400816,-1339,8221,0,959,8356
main,99,book_pullback_ma20,17896,120,-0.150313,0.408248,-1491,8201,0,944,8288
main,100,book_pullback_ma20,17908,108,-0.057937,0.403172,-573,8127,0,981,8254
main,101,book_pullback_ma20,17899,117,-0.140727,0.404771,-1392,8003,0,980,8132
main,102,book_pullback_ma20,17890,126,-0.087941,0.407714,-833,8410,0,975,8504
main,103,book_pullback_ma20,17912,104,-0.050809,0.407827,-505,8438,0,957,8524
main,104,book_pullback_ma20,17899,117,-0.205683,0.407062,-2003,8101,0,976,8245
main,105,book_pullback_ma20,17924,92,0.042432,0.401138,442,8090,0,962,8203
main,106,book_pullback_ma20,17889,127,-0.232645,0.406954,-2277,8382,0,986,8510
main,107,book_pullback_ma20,17911,105,-0.312239,0.400089,-3068,8333,0,977,8417
main,108,book_pullback_ma20,17907,109,0.002456,0.401966,59,8196,0,968,8302
main,109,book_pullback_ma20,17909,107,0.19768,0.398515,2011,7985,0,1018,8134
main,110,book_pullback_ma20,17922,94,-0.188699,0.406093,-1849,8024,0,983,8147
main,111,book_pullback_ma20,17912,104,-0.205104,0.404701,-2047,8357,0,964,8476
main,112,book_pullback_ma20,17899,117,-0.008362,0.402481,-46,7947,0,967,8080
main,113,book_pullback_ma20,17890,126,-0.084233,0.408944,-784,8151,0,995,8274
main,114,book_pullback_ma20,17881,135,-0.267747,0.403333,-2646,8461,0,942,8546
main,115,book_pullback_ma20,17895,121,0.223856,0.404862,2270,8013,0,994,8136
main,116,book_pullback_ma20,17909,107,-0.12046,0.401418,-1163,8184,0,957,8314
main,117,book_pullback_ma20,17899,117,0.059845,0.411308,610,8085,0,974,8187
main,118,book_pullback_ma20,17908,108,-0.231964,0.400547,-2287,8253,0,1001,8368
main,119,book_pullback_ma20,17900,116,-0.094608,0.407151,-935,8075,0,981,8196
main,120,book_pullback_ma20,17891,125,-0.026766,0.400369,-244,8187,0,969,8290
main,121,book_pullback_ma20,17898,118,-0.120841,0.409152,-1202,7880,0,1000,8024
main,122,book_pullback_ma20,17890,126,-0.136054,0.401677,-1331,8153,0,987,8284
main,123,book_pullback_ma20,17917,99,-0.049279,0.409499,-474,8288,0,1001,8408
main,124,book_pullback_ma20,17914,102,0.011322,0.406833,186,8339,0,962,8456
main,125,book_pullback_ma20,17907,109,-0.119134,0.405037,-1136,7984,0,1001,8128
main,126,book_pullback_ma20,17917,99,0.242582,0.406541,2429,8057,0,981,8175
main,127,book_pullback_ma20,17888,128,-0.066847,0.412288,-655,8236,0,980,8355
main,128,book_pullback_ma20,17892,124,-0.098481,0.402135,-956,8286,0,971,8393
main,129,book_pullback_ma20,17902,114,-0.121507,0.407049,-1180,8103,0,997,8214
main,130,book_pullback_ma20,17908,108,-0.047955,0.404344,-461,8297,0,944,8414
main,131,book_pullback_ma20,17900,116,-0.151698,0.401285,-1488,8123,0,986,8218
main,132,book_pullback_ma20,17913,103,-0.149105,0.405125,-1479,8339,0,978,8457
main,133,book_pullback_ma20,17910,106,-0.174242,0.404969,-1712,8356,0,999,8453
main,134,book_pullback_ma20,17921,95,-0.301494,0.402879,-2987,8245,0,990,8349
main,135,book_pullback_ma20,17935,81,-0.203685,0.409144,-1969,8234,0,972,8341
main,136,book_pullback_ma20,17889,127,-0.239314,0.397116,-2368,8142,0,987,8259
main,137,book_pullback_ma20,17908,108,-0.017286,0.404009,-137,8293,0,974,8382
main,138,book_pullback_ma20,17901,115,-0.213743,0.403776,-2097,8075,0,992,8201
main,139,book_pullback_ma20,17912,104,-0.350732,0.398839,-3471,8282,0,982,8381
main,140,book_pullback_ma20,17909,107,-0.073663,0.404489,-718,8293,0,964,8429
main,141,book_pullback_ma20,17923,93,-0.203768,0.403336,-1987,8224,0,982,8343
main,142,book_pullback_ma20,17913,103,-0.18193,0.40546,-1789,8236,0,976,8373
main,143,book_pullback_ma20,17897,119,0.017393,0.401408,195,8230,0,968,8342
main,144,book_pullback_ma20,17916,100,-0.167244,0.40662,-1636,8238,0,975,8340
main,145,book_pullback_ma20,17913,103,0.119275,0.415173,1182,8332,0,992,8442
main,146,book_pullback_ma20,17897,119,-0.142487,0.406549,-1398,8082,0,985,8221
main,147,book_pullback_ma20,17928,88,-0.33083,0.399877,-3288,8226,0,976,8335
