post_log_no,post_date,prog_ver,item_no,stock_name,leg_idx,ret_pct,is_loss,leg_open_ended
224364189017,2026-07-31,1.0.30,10,삼기,1,28.57,0,0
224364189017,2026-07-31,1.0.30,10,삼기,2,19.75,0,0
224364189017,2026-07-31,1.0.30,10,삼기,3,16.61,0,0
224364189017,2026-07-31,1.0.30,10,삼기,4,14.32,0,0
224364189017,2026-07-31,1.0.30,10,삼기,5,14.02,0,1
224364189017,2026-07-31,1.0.30,11,씨피시스템,1,9.65,0,0
224364189017,2026-07-31,1.0.30,12,현대약품,1,9.01,0,0
224364189017,2026-07-31,1.0.30,12,현대약품,2,8.91,0,0
224364189017,2026-07-31,1.0.30,12,현대약품,3,6.22,0,0
224364189017,2026-07-31,1.0.30,12,현대약품,4,-9.60,1,0
224364189017,2026-07-31,1.0.30,13,금호전기,1,20.17,0,0
224364189017,2026-07-31,1.0.30,14,동신건설,1,21.06,0,0
224364189017,2026-07-31,1.0.30,14,동신건설,2,14.45,0,0
224364189017,2026-07-31,1.0.30,14,동신건설,3,8.12,0,0
224364189017,2026-07-31,1.0.30,14,동신건설,4,8.12,0,0
224364189017,2026-07-31,1.0.30,15,남화토건,1,30.23,0,0
224364189017,2026-07-31,1.0.30,15,남화토건,2,24.84,0,0
224364189017,2026-07-31,1.0.30,15,남화토건,3,17.78,0,0
224364189017,2026-07-31,1.0.30,15,남화토건,4,12.64,0,0
224364189017,2026-07-31,1.0.30,15,남화토건,5,10.96,0,0
224364189017,2026-07-31,1.0.30,16,삼호개발,1,8.48,0,0
224364189017,2026-07-31,1.0.30,16,삼호개발,2,8.47,0,0
224364189017,2026-07-31,1.0.30,16,삼호개발,3,6.87,0,0
224364189017,2026-07-31,1.0.30,17,한성크린텍,1,8.97,0,0
224364189017,2026-07-31,1.0.30,17,한성크린텍,2,7.73,0,0
224364189017,2026-07-31,1.0.30,17,한성크린텍,3,7.22,0,0
224364189017,2026-07-31,1.0.30,17,한성크린텍,4,3.49,0,0
224364189017,2026-07-31,1.0.30,17,한성크린텍,5,3.49,0,0
224364189017,2026-07-31,1.0.30,18,삼기에너지솔루션즈,1,8.00,0,0
224364189017,2026-07-31,1.0.30,18,삼기에너지솔루션즈,2,2.14,0,0
224364189017,2026-07-31,1.0.30,18,삼기에너지솔루션즈,3,0.27,0,0
224364189017,2026-07-31,1.0.30,19,에스폴리텍,1,17.95,0,0
224364189017,2026-07-31,1.0.30,19,에스폴리텍,2,16.53,0,0
224364189017,2026-07-31,1.0.30,19,에스폴리텍,3,10.21,0,0
224364189017,2026-07-31,1.0.30,19,에스폴리텍,4,8.59,0,0
224364189017,2026-07-31,1.0.30,20,삼화전자,1,20.07,0,0
224364189017,2026-07-31,1.0.30,20,삼화전자,2,11.87,0,0
