arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
A_sim,AS-0016,main,book_pullback_ma20,125490,2026-09-11,D_open,10650,151,actual,1608150,replay,N,,,,2507,N,1,,closed,tp,after0902,2026-09-15,11715,+10.00,2,160815,
A_sim,AS-0017,main,book_pullback_ma20,232140,2026-09-11,D_open,11820,140,actual,1654800,replay,N,,,,2510,N,1,,open,open,,2026-09-18,11910,+0.76,5,12600,mark_to_market(마지막 종가)
A_sim,AS-0018,main,book_pullback_ma5,092790,2026-09-11,D_open,14360,109,actual,1565240,replay,N,,,,2500,N,1,,closed,sl,after0902,2026-09-15,13929.2,-3.00,2,-46957,
A_sim,AS-0019,main,book_pullback_ma5,388050,2026-09-11,D_open,10920,140,actual,1528800,replay,N,,,,2497,N,1,,closed,sl,after0902,2026-09-14,10592.4,-3.00,1,-45864,
A_sim,AS-0020,main,daytrading_3methods_breakout,006880,2026-09-11,band_touch,4871.9,386,actual,1880553,replay,N,,,,2493,N,1,,closed,sl,after0902,2026-09-16,4384.71,-10.00,3,-188055,entry_day_touch_skipped(진입 시각 불명)
A_sim,AS-0021,main,daytrading_3methods_breakout,117580,2026-09-11,band_touch,7735.3,229,actual,1771384,replay,N,,,,2496,N,1,,open,open,,2026-09-18,7070,-8.60,5,-152354,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0022,main,rs_leader,069540,2026-09-11,D_open,3810,171,actual,651510,replay,N,,,,2502,N,1,,closed,tp,after0902,2026-09-14,4381.5,+15.00,1,97726,
A_sim,AS-0023,main,rs_leader,351320,2026-09-11,D_open,4000,161,actual,644000,replay,N,,,,2498,N,1,,closed,sl,entry_day,2026-09-11,3680,-8.00,0,-51520,
A_sim,AS-0024,main,book_envelope_200d,098120,2026-09-14,D_open,53200,28,actual,1489600,replay,N,,,,2517,N,1,,closed,sl,entry_day,2026-09-14,48944,-8.00,0,-119168,
A_sim,AS-0025,main,book_pullback_ma5,413630,2026-09-14,D_open,4130,383,actual,1581790,replay,N,,,,2520,N,1,,closed,sl,after0902,2026-09-15,3985,-3.51,1,-55535,sl_gap_open(라이브는 09:05 이후 가격)
A_sim,AS-0026,main,book_pullback_ma5,452190,2026-09-14,D_open,5030,309,actual,1554270,replay,N,,,,2518,N,1,,closed,sl,after0902,2026-09-15,4850,-3.58,1,-55620,sl_gap_open(라이브는 09:05 이후 가격)
A_sim,AS-0027,main,daytrading_3methods_breakout,0015S0,2026-09-14,D_open,8100,247,actual,2000700,replay,N,,,,2511,N,1,,closed,tp,after0902,2026-09-15,8910,+10.00,1,200070,
A_sim,AS-0028,main,rs_leader,060570,2026-09-14,D_open,4870,133,actual,647710,replay,N,,,,2521,N,1,,open,open,,2026-09-18,5090,+4.52,4,29260,mark_to_market(마지막 종가)
A_sim,AS-0029,main,rs_leader,067390,2026-09-14,D_open,6280,103,actual,646840,replay,N,,,,2519,N,1,,open,open,,2026-09-18,5880,-6.37,4,-41200,mark_to_market(마지막 종가)
