date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-14,rs_leader,shadow,049080,1,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,8220,replay,,,,
2026-09-14,rs_leader,shadow,001210,2,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,12450,replay,,,,
2026-09-14,rs_leader,shadow,067390,3,bought,bought,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,26,09:04:48,11:05:48,agree_Y,agree_Y,agree_Y,N,N,Y,Y,6300,6300,log,,,,
2026-09-14,rs_leader,shadow,002780,4,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,7200,replay,,,,
2026-09-14,rs_leader,shadow,159010,5,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,23350,replay,,,,
2026-09-14,rs_leader,shadow,079650,6,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,7160,replay,,,,
2026-09-14,rs_leader,shadow,060570,7,bought,bought,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,27,09:04:48,11:10:46,agree_Y,agree_Y,agree_Y,N,N,Y,Y,5040,5040,log,,,,
2026-09-14,rs_leader,shadow,018470,8,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,26,09:04:48,11:05:49,agree_Y,agree_Y,agree_Y,N,N,Y,Y,4655,4655,log,,,,
2026-09-14,rs_leader,shadow,046970,9,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,26,09:04:48,11:05:49,agree_Y,agree_Y,agree_Y,N,N,Y,Y,7190,7190,log,,,,
2026-09-14,rs_leader,shadow,024850,10,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,26,09:04:48,11:05:49,agree_Y,agree_Y,agree_Y,N,N,Y,Y,16720,16720,log,,,,
2026-09-15,elder_ema_pullback,,000150,1,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-15,elder_ema_pullback,,000810,2,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=659000<=ema13*1.02 close=6750,Y,Y,Y,75,09:06:27,15:26:35,agree_Y,agree_Y,agree_Y,N,N,Y,Y,675000,675000,log,,,,
2026-09-15,elder_ema_pullback,,128940,3,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=452000<=ema13*1.02 close=4740,Y,Y,Y,75,09:06:28,15:26:35,agree_Y,agree_Y,agree_Y,N,N,Y,Y,474000,474000,log,,,,
2026-09-15,elder_ema_pullback,,051900,4,bought,bought,Y,Y,triple_screen_ema_pullback low=290000<=ema13*1.02 close=2990,Y,Y,Y,2,09:06:28,09:11:46,agree_Y,agree_Y,agree_Y,N,N,Y,Y,299000,299000,log,,,,
2026-09-15,elder_ema_pullback,,192820,5,bought,bought,Y,Y,triple_screen_ema_pullback low=269500<=ema13*1.02 close=2760,Y,Y,Y,3,09:06:28,09:17:01,agree_Y,agree_Y,agree_Y,N,N,Y,Y,276000,276000,log,,,,
2026-09-15,elder_ema_pullback,,064760,6,held,held,N,Y,triple_screen_ema_pullback low=241500<=ema13*1.02 close=2610,NA,NA,NA,,,,na,na,na,N,N,,,,261000,replay,,,,
2026-09-15,elder_ema_pullback,,062040,7,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=191800<=ema13*1.02 close=1980,Y,Y,Y,75,09:06:29,15:26:36,agree_Y,agree_Y,agree_Y,N,N,Y,Y,198000,198000,log,,,,
2026-09-15,elder_ema_pullback,,005830,8,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=184800<=ema13*1.02 close=1925,Y,Y,Y,75,09:06:29,15:26:36,agree_Y,agree_Y,agree_Y,N,N,Y,Y,192500,192500,log,,,,
2026-09-15,elder_ema_pullback,,105560,9,held,held,N,Y,triple_screen_ema_pullback low=174700<=ema13*1.02 close=1816,NA,NA,NA,,,,na,na,na,N,N,,,,181600,replay,,,,
2026-09-15,elder_ema_pullback,,095340,10,bought,bought,Y,Y,triple_screen_ema_pullback low=179700<=ema13*1.02 close=1802,Y,Y,Y,29,09:06:29,11:32:51,agree_Y,agree_Y,agree_Y,N,N,Y,Y,180200,180200,log,,,,
2026-09-15,book_envelope_200d,,020120,1,bought,bought,N,Y,envelope_200d_high close=9000 >= env_upper=8228 200d_high vo,Y,Y,Y,1,09:01:48,09:01:48,agree_Y,agree_Y,agree_Y,N,N,Y,Y,9000,9000,log,,,,
2026-09-15,daytrading_3methods_breakout,,005160,1,bought,bought,N,Y,breakout_prev_high close=3125.00 prior20_high=2675.00 vol=46,Y,Y,Y,1,13:01:37,13:01:37,agree_Y,agree_Y,agree_Y,N,N,N,Y,3125,3125,log,181.0816,2,+8954.08,
2026-09-15,daytrading_3methods_breakout,,411080,2,bought,bought,N,Y,breakout_prev_high close=6900.00 prior20_high=5510.00 vol=12,Y,Y,Y,1,15:07:56,15:07:56,agree_Y,agree_Y,agree_Y,N,N,N,Y,6900,6900,log,56.1138,2,+2705.69,
2026-09-15,daytrading_3methods_breakout,,104620,3,no_slot,no_slot,N,Y,breakout_prev_high close=3340.00 prior20_high=3280.00 vol=35,NA,NA,NA,,,,na,na,na,N,N,,,,3340,replay,56.7693,2,+2738.47,N
2026-09-15,daytrading_3methods_breakout,,480370,4,no_slot,no_slot,N,Y,breakout_prev_high close=1954.00 prior20_high=1789.00 vol=52,NA,NA,NA,,,,na,na,na,N,N,,,,1954,replay,43.4358,2,+2071.79,N
2026-09-15,daytrading_3methods_breakout,,150900,5,no_slot,no_slot,N,Y,breakout_prev_high close=4265.00 prior20_high=4000.00 vol=14,NA,NA,NA,,,,na,na,na,N,N,,,,4265,replay,27.7129,2,+1285.65,N
