arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
B1,B1-0037,main,rs_leader,000500,2026-09-21,D_open,324000,3,amount,972000,log,N,,,,,N,1,,open,open,,2026-09-23,318500,-1.70,2,-16500,mark_to_market(마지막 종가)
B1,B1-0038,main,rs_leader,00088K,2026-09-21,D_open,40550,24,amount,973200,replay,N,,,,,N,1,,closed,ma_break,after0902,2026-09-22,39600,-2.34,1,-22800,
B1,B1-0039,main,rs_leader,006340,2026-09-21,D_open,14000,71,amount,994000,replay,N,,,,,N,1,,open,open,,2026-09-23,13490,-3.64,2,-36210,mark_to_market(마지막 종가)
B1,B1-0040,main,rs_leader,017900,2026-09-21,D_open,10780,92,amount,991760,replay,N,,,,,N,1,,closed,sl,after0902,2026-09-23,9917.6,-8.00,2,-79341,
B1,B1-0041,main,rs_leader,020120,2026-09-21,D_open,8420,118,amount,993560,replay,N,,,book_envelope_200d(09-15),,N,1,,closed,sl,entry_day,2026-09-21,7746.4,-8.00,0,-79485,
B1,B1-0042,main,rs_leader,024840,2026-09-21,D_open,6440,155,amount,998200,replay,N,,,,,N,1,,open,open,,2026-09-23,6350,-1.40,2,-13950,mark_to_market(마지막 종가)
B1,B1-0043,main,rs_leader,032580,2026-09-21,D_open,5600,178,amount,996800,log,N,,,,,N,1,,closed,tp,entry_day,2026-09-21,6440,+15.00,0,149520,
B1,B1-0044,main,rs_leader,036930,2026-09-21,D_open,208500,4,amount,834000,replay,N,,,elder_ema_pullback(09-17),,N,1,,open,open,,2026-09-23,209500,+0.48,2,4000,mark_to_market(마지막 종가)
B1,B1-0045,main,rs_leader,064290,2026-09-21,band_touch,48152.5,20,amount,963050,replay,N,,,,,N,1,,closed,tp,open0900,2026-09-22,55400,+15.05,1,144950,entry_day_touch_skipped(진입 시각 불명) · gap_tp_open
B1,B1-0046,main,rs_leader,092190,2026-09-21,D_open,8760,114,amount,998640,replay,N,,,,,N,1,,closed,sl,after0902,2026-09-22,8059.2,-8.00,1,-79891,
B1,B1-0047,main,book_envelope_200d,010580,2026-09-22,D_open,2785,359,amount,999815,log,N,,,,,N,1,,open,open,,2026-09-23,2765,-0.72,1,-7180,mark_to_market(마지막 종가)
B1,B1-0048,main,book_envelope_200d,098120,2026-09-22,D_open,58500,17,amount,994500,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,58000,-0.85,1,-8500,mark_to_market(마지막 종가)
B1,B1-0049,main,book_envelope_200d,252990,2026-09-22,D_open,18300,54,amount,988200,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,17930,-2.02,1,-19980,mark_to_market(마지막 종가)
B1,B1-0050,main,book_pullback_ma20,036090,2026-09-22,D_open,1450,689,amount,999050,log,N,,throttle,,,N,1,,open,open,,2026-09-23,1398,-3.59,1,-35828,mark_to_market(마지막 종가)
B1,B1-0051,main,book_pullback_ma20,071090,2026-09-22,D_open,3235,309,amount,999615,log,N,,throttle_delay,,,N,1,,closed,tp,entry_day,2026-09-22,3558.5,+10.00,0,99962,
B1,B1-0052,main,book_pullback_ma20,080220,2026-09-22,band_touch,75952,13,amount,987376,log,N,,throttle,,,N,1,,open,open,,2026-09-23,77600,+2.17,1,21424,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0053,main,book_pullback_ma20,082920,2026-09-22,band_touch,29593,33,amount,976569,log,N,,throttle,,,N,1,,open,open,,2026-09-23,27850,-5.89,1,-57519,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0054,main,book_pullback_ma20,086450,2026-09-22,D_open,21000,47,amount,987000,log,N,,throttle,,,N,1,,open,open,,2026-09-23,21350,+1.67,1,16450,mark_to_market(마지막 종가)
B1,B1-0055,main,book_pullback_ma20,232140,2026-09-22,D_open,14310,69,amount,987390,log,N,,,,,N,1,,open,open,,2026-09-23,14250,-0.42,1,-4140,mark_to_market(마지막 종가)
