date,strategy,code,tier,price,basis,qty,qty_basis,signal_basis,crash_blocked,other_holder_live,entry_time,lift_time,touch_open,touch_high,touch_low,touch_close,d5
2026-09-21,book_pullback_ma5,090460,ext,20100.0,D_open,49,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,048410,ext,6830.0,D_open,146,amount,replay,N,,,,,,,,
2026-09-21,book_pullback_ma5,012200,ext,3930.0,D_open,254,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,032580,main,5600.0,D_open,178,amount,log,N,,,,,,,,
2026-09-21,rs_leader,017900,main,10780.0,D_open,92,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,000500,main,324000.0,D_open,3,amount,log,N,,,,,,,,
2026-09-21,rs_leader,024840,main,6440.0,D_open,155,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,036930,main,208500.0,D_open,4,amount,replay,N,elder_ema_pullback(09-17),,,,,,,
2026-09-21,rs_leader,00088K,main,40550.0,D_open,24,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,092190,main,8760.0,D_open,114,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,020120,main,8420.0,D_open,118,amount,replay,N,book_envelope_200d(09-15),,,,,,,
2026-09-21,rs_leader,064290,main,48152.5,band_touch,20,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,006340,main,14000.0,D_open,71,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,001820,ext,147100.0,D_open,6,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,417840,ext,14770.0,D_open,67,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,222800,ext,126300.0,D_open,7,amount,replay,N,elder_ema_pullback(09-09),,,,,,,
2026-09-21,rs_leader,134580,ext,3750.0,D_open,266,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,446540,ext,8560.0,D_open,116,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,071200,ext,12700.0,D_open,78,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,010170,ext,18450.0,D_open,54,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,098120,ext,53800.0,D_open,18,amount,replay,N,book_envelope_200d(09-14),,,,,,,
2026-09-21,rs_leader,003010,ext,10460.0,D_open,95,amount,replay,N,,,,,,,,
2026-09-21,rs_leader,072950,ext,14100.0,D_open,70,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,039030,main,491000.0,D_open,2,amount,log,N,,,,,,,,
2026-09-22,elder_ema_pullback,108490,main,311500.0,band_touch,3,amount,log,N,,,,,,,,
2026-09-22,elder_ema_pullback,051900,main,301500.0,band_touch,3,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,131290,main,275000.0,D_open,3,amount,log,N,,,,,,,,
2026-09-22,elder_ema_pullback,064760,main,272500.0,D_open,3,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,443060,main,242000.0,band_touch,4,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,062040,ext,212000.0,band_touch,4,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,095340,ext,205020.0,band_touch,4,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,010950,ext,155600.0,band_touch,6,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,161890,ext,146500.0,band_touch,6,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,084370,ext,144900.0,D_open,6,amount,replay,N,,,,,,,,
2026-09-22,elder_ema_pullback,180640,ext,139800.0,band_touch,7,amount,replay,N,,,,,,,,
2026-09-22,book_envelope_200d,010580,main,2785.0,D_open,359,amount,log,N,,,,,,,,
2026-09-22,book_envelope_200d,252990,main,18300.0,D_open,54,amount,log,N,,,,,,,,throttle_delay
2026-09-22,book_envelope_200d,098120,main,58500.0,D_open,17,amount,log,N,,,,,,,,throttle_delay
2026-09-22,daytrading_3methods_breakout,099750,main,7670.0,D_open,130,amount,log,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,223250,main,3630.0,D_open,275,amount,log,N,,,,,,,,throttle_delay
2026-09-22,daytrading_3methods_breakout,086960,main,2155.0,D_open,464,amount,log,N,,,,,,,,throttle_delay
2026-09-22,daytrading_3methods_breakout,425040,main,12970.0,D_open,77,amount,log,N,,,,,,,,throttle
2026-09-22,daytrading_3methods_breakout,402490,main,7610.0,D_open,131,amount,log,N,,,,,,,,throttle
2026-09-22,daytrading_3methods_breakout,097800,main,2530.0,D_open,395,amount,log,N,,,,,,,,throttle
2026-09-22,daytrading_3methods_breakout,254490,main,16716.9,band_touch,59,amount,log,N,,,,,,,,throttle
2026-09-22,daytrading_3methods_breakout,205100,main,1441.0,D_open,693,amount,log,N,,,,,,,,throttle
2026-09-22,daytrading_3methods_breakout,226590,main,14480.0,D_open,69,amount,log,N,,,,,,,,throttle
2026-09-22,daytrading_3methods_breakout,094360,ext,12120.0,D_open,82,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,340810,ext,4610.0,D_open,216,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,314130,ext,3965.0,D_open,252,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,208640,ext,992.0,D_open,1008,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,102120,ext,7980.0,D_open,125,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,272110,ext,29900.0,D_open,33,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,033170,ext,2878.85,band_touch,347,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,009070,ext,4160.0,D_open,240,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,092220,ext,3254.8,band_touch,307,amount,replay,N,,,,,,,,
2026-09-22,daytrading_3methods_breakout,078350,ext,27400.0,D_open,36,amount,replay,N,,,,,,,,
2026-09-22,minervini_volume_dryup,088350,main,5790.0,D_open,172,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,006340,main,13870.0,D_open,72,amount,log,N,book_pullback_ma20(09-21),,,,,,,
2026-09-22,minervini_volume_dryup,028670,main,5870.0,D_open,170,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,006360,main,37450.0,D_open,26,amount,replay,N,,,,,,,,
2026-09-22,minervini_volume_dryup,144960,main,12020.0,D_open,83,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,161890,main,145600.0,D_open,6,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,090430,main,144800.0,D_open,6,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,007340,main,49850.0,D_open,20,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,241710,main,129000.0,D_open,7,amount,replay,N,,,,,,,,
2026-09-22,minervini_volume_dryup,005090,main,54700.0,D_open,18,amount,log,N,,,,,,,,
2026-09-22,minervini_volume_dryup,089860,ext,49050.0,D_open,20,amount,replay,N,,,,,,,,
2026-09-22,minervini_volume_dryup,282330,ext,138500.0,D_open,7,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,232140,main,14310.0,D_open,69,amount,log,N,,,,,,,,
2026-09-22,book_pullback_ma20,080220,main,75952.0,band_touch,13,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma20,036090,main,1450.0,D_open,689,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma20,071090,main,3235.0,D_open,309,amount,log,N,,,,,,,,throttle_delay
2026-09-22,book_pullback_ma20,382800,main,5403.5,band_touch,185,amount,log,N,,,,,,,,throttle_delay
2026-09-22,book_pullback_ma20,086450,main,21000.0,D_open,47,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma20,357880,main,1900.82,band_touch,526,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma20,082920,main,29593.0,band_touch,33,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma20,240550,ext,6320.0,D_open,158,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,122640,ext,32700.0,D_open,30,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,212560,ext,10534.3,band_touch,94,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,056080,ext,12917.9,band_touch,77,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,263750,ext,34800.0,D_open,28,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,023160,ext,27350.0,D_open,36,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,014620,ext,32750.0,D_open,30,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,112040,ext,15160.0,D_open,65,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,120110,ext,57671.0,band_touch,17,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma20,397030,ext,18470.0,D_open,54,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,017900,main,10728.199999999999,band_touch,93,amount,log,N,,,,,,,,
2026-09-22,book_pullback_ma5,036540,main,10655.5,band_touch,93,amount,log,N,,,,,,,,
2026-09-22,book_pullback_ma5,356680,main,17910.0,D_open,55,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma5,332570,main,9393.0,band_touch,106,amount,log,N,,,,,,,,throttle_delay
2026-09-22,book_pullback_ma5,125490,main,12530.0,D_open,79,amount,log,N,,,,,,,,throttle_delay
2026-09-22,book_pullback_ma5,030530,main,27100.0,D_open,36,amount,log,N,,,,,,,,throttle_delay
2026-09-22,book_pullback_ma5,192650,main,8200.0,D_open,121,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma5,452260,main,2715.0,D_open,368,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma5,417200,main,13887.5,band_touch,72,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma5,142280,main,3295.0,D_open,303,amount,log,N,,,,,,,,throttle
2026-09-22,book_pullback_ma5,001510,ext,2403.8,band_touch,416,amount,replay,N,book_pullback_ma20(09-02),,,,,,,
2026-09-22,book_pullback_ma5,092220,ext,3191.6,band_touch,313,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,240550,ext,6320.0,D_open,158,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,036090,ext,1450.0,D_open,689,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,314130,ext,3965.0,D_open,252,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,048410,ext,7080.0,D_open,141,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,0011A0,ext,13040.0,D_open,76,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,071090,ext,3235.0,D_open,309,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,357880,ext,1900.82,band_touch,526,amount,replay,N,,,,,,,,
2026-09-22,book_pullback_ma5,160190,ext,29850.0,D_open,33,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,032580,main,6600.0,D_open,151,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,017900,main,10570.0,D_open,94,amount,log,N,,,,,,,,
2026-09-22,rs_leader,036930,main,211665.0,band_touch,4,amount,log,N,elder_ema_pullback(09-17),,,,,,,
2026-09-22,rs_leader,024840,main,6460.0,D_open,154,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,000500,main,328055.0,band_touch,3,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,351320,main,3740.0,D_open,267,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,001820,main,150000.0,D_open,6,amount,log,N,,,,,,,,
2026-09-22,rs_leader,020120,main,8110.0,D_open,123,amount,log,N,,,,,,,,
2026-09-22,rs_leader,092190,ext,8672.6,band_touch,115,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,131290,ext,275000.0,D_open,3,amount,replay,N,,,,,,,,
2026-09-22,rs_leader,446540,ext,9410.0,D_open,106,amount,replay,N,,,,,,,,
