date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-21,book_pullback_ma20,014990,cash,qty_short,1,09:03:37,09:03:37,log
2026-09-21,book_pullback_ma20,014990,fill,Y,1,09:34:28,09:34:28,vtr
2026-09-21,book_pullback_ma20,090710,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,090710,signal,Y,5,09:03:37,09:28:19,log
2026-09-21,book_pullback_ma20,090710,cap,daily_trades,1,09:34:28,09:34:28,log
2026-09-21,book_pullback_ma20,090710,gate,throttle,3,09:16:08,09:28:19,log
2026-09-21,book_pullback_ma20,090710,cash,qty_short,1,09:03:38,09:03:38,log
2026-09-21,book_pullback_ma20,125020,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,125020,signal,Y,5,09:03:38,09:28:19,log
2026-09-21,book_pullback_ma20,125020,cap,daily_trades,1,09:34:28,09:34:28,log
2026-09-21,book_pullback_ma20,125020,gate,throttle,3,09:16:08,09:28:19,log
2026-09-21,book_pullback_ma20,125020,cash,qty_short,1,09:03:38,09:03:38,log
2026-09-21,book_pullback_ma20,089970,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma20,089970,signal,Y,5,09:03:38,09:28:19,log
2026-09-21,book_pullback_ma20,089970,cap,daily_trades,1,09:34:28,09:34:28,log
2026-09-21,book_pullback_ma20,089970,gate,throttle,3,09:16:08,09:28:20,log
2026-09-21,book_pullback_ma20,089970,cash,qty_short,1,09:03:38,09:03:38,log
2026-09-21,book_pullback_ma5,017900,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,017900,signal,Y,2,09:04:23,09:10:42,log
2026-09-21,book_pullback_ma5,017900,gate,held_any,1,09:04:23,09:04:23,log
2026-09-21,book_pullback_ma5,017900,gate,band_above,1,09:10:43,09:10:43,log
2026-09-21,book_pullback_ma5,203650,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,203650,signal,Y,2,09:04:23,09:10:43,log
2026-09-21,book_pullback_ma5,203650,gate,buy_stop,1,09:04:23,09:04:23,log
2026-09-21,book_pullback_ma5,203650,fill,Y,1,09:10:43,09:10:43,vtr
2026-09-21,book_pullback_ma5,032820,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,032820,signal,Y,1,09:04:23,09:04:23,log
2026-09-21,book_pullback_ma5,032820,gate,band_above,1,09:04:23,09:04:23,log
2026-09-21,book_pullback_ma5,217590,candidate,Y,1,,,e6
2026-09-21,book_pullback_ma5,217590,signal,Y,1,09:04:23,09:04:23,log
2026-09-21,book_pullback_ma5,217590,gate,band_above,1,09:04:24,09:04:24,log
2026-09-21,book_pullback_ma5,115440,candidate,Y,1,,,e6
