date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-22,elder_ema_pullback,,039030,2,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=454000<=ema13*1.02 close=4840,Y,Y,Y,61,09:08:20,15:27:17,agree_Y,agree_Y,agree_Y,N,N,Y,Y,484000,484000,log,,,,
2026-09-22,elder_ema_pullback,,357780,3,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-22,elder_ema_pullback,,108490,4,bought,bought,Y,Y,triple_screen_ema_pullback low=302000<=ema13*1.02 close=3060,Y,Y,Y,25,09:08:20,11:43:11,agree_Y,agree_Y,agree_Y,N,N,Y,Y,306000,306000,log,,,,
2026-09-22,elder_ema_pullback,,051900,5,held,held,N,Y,triple_screen_ema_pullback low=291000<=ema13*1.02 close=2990,NA,NA,NA,,,,na,na,na,N,N,,,,299000,replay,,,,
2026-09-22,elder_ema_pullback,,192820,6,held,held,N,Y,triple_screen_ema_pullback low=264500<=ema13*1.02 close=2750,NA,NA,NA,,,,na,na,na,N,N,,,,275000,replay,,,,
2026-09-22,elder_ema_pullback,,131290,7,bought,bought,Y,Y,triple_screen_ema_pullback low=243000<=ema13*1.02 close=2695,Y,Y,Y,2,09:08:20,09:14:43,agree_Y,agree_Y,agree_Y,N,N,Y,Y,269500,269500,log,,,,
2026-09-22,elder_ema_pullback,,064760,8,held,held,N,Y,triple_screen_ema_pullback low=261000<=ema13*1.02 close=2675,NA,NA,NA,,,,na,na,na,N,N,,,,267500,replay,,,,
2026-09-22,elder_ema_pullback,,443060,9,held,held,N,Y,triple_screen_ema_pullback low=230000<=ema13*1.02 close=2335,NA,NA,NA,,,,na,na,na,N,N,,,,233500,replay,,,,
2026-09-22,elder_ema_pullback,,018260,10,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-22,book_envelope_200d,,010580,1,bought,bought,N,Y,envelope_200d_high close=2845 >= env_upper=2791 200d_high vo,Y,Y,Y,1,09:01:45,09:01:45,agree_Y,agree_Y,agree_Y,N,N,Y,Y,2845,2845,log,,,,
2026-09-22,book_envelope_200d,,252990,2,bought,bought,Y,Y,envelope_200d_high close=18090 >= env_upper=17321 200d_high ,Y,Y,Y,2,09:01:46,09:09:04,agree_Y,agree_Y,agree_Y,N,N,Y,Y,18090,18090,log,,,,
2026-09-22,book_envelope_200d,,098120,3,bought,bought,Y,Y,envelope_200d_high close=57600 >= env_upper=56755 200d_high ,Y,Y,Y,3,09:01:46,09:15:33,agree_Y,agree_Y,agree_Y,N,N,Y,Y,57600,57600,log,,,,
2026-09-22,daytrading_3methods_breakout,,099750,1,bought,bought,Y,Y,breakout_prev_high close=7760.00 prior20_high=7240.00 vol=14,Y,Y,Y,1,09:02:36,09:02:36,agree_Y,agree_Y,agree_Y,N,N,N,Y,7760,7760,log,92.7674,2,+4538.37,
2026-09-22,daytrading_3methods_breakout,,223250,2,bought,bought,Y,Y,breakout_prev_high close=3630.00 prior20_high=3490.00 vol=65,Y,Y,Y,2,09:02:37,09:09:48,agree_Y,agree_Y,agree_Y,N,N,N,Y,3630,3630,log,95.1954,2,+4659.77,
2026-09-22,daytrading_3methods_breakout,,086960,3,bought,bought,Y,Y,breakout_prev_high close=2120.00 prior20_high=2075.00 vol=90,Y,Y,Y,3,09:02:37,09:16:19,agree_Y,agree_Y,agree_Y,N,N,N,Y,2120,2120,log,69.2187,2,+3360.93,
2026-09-22,daytrading_3methods_breakout,,425040,4,slot_available,slot_available,Y,Y,breakout_prev_high close=12820.00 prior20_high=10430.00 vol=,Y,Y,Y,2,09:02:37,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,12820,12820,log,55.4053,2,+2670.27,
2026-09-22,daytrading_3methods_breakout,,393210,5,slot_available,slot_available,Y,Y,breakout_prev_high close=2550.00 prior20_high=2460.00 vol=66,Y,Y,Y,2,09:02:37,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,2550,2550,log,24.1329,2,+1106.64,
2026-09-22,daytrading_3methods_breakout,,402490,6,slot_available,slot_available,Y,Y,breakout_prev_high close=7570.00 prior20_high=7100.00 vol=95,Y,Y,Y,2,09:02:37,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,7570,7570,log,13.6671,2,+583.36,
2026-09-22,daytrading_3methods_breakout,,097800,7,slot_available,slot_available,Y,Y,breakout_prev_high close=2500.00 prior20_high=2275.00 vol=54,Y,Y,Y,2,09:02:37,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,2500,2500,log,10.2898,2,+414.49,
2026-09-22,daytrading_3methods_breakout,,254490,8,slot_available,slot_available,Y,Y,breakout_prev_high close=16230.00 prior20_high=15940.00 vol=,Y,Y,Y,2,09:02:38,09:09:49,agree_Y,agree_Y,agree_Y,N,N,N,Y,16230,16230,log,9.3401,2,+367.00,
