arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
A_sim,AS-0016,main,book_pullback_ma5,125490,2026-09-22,D_open,12530,129,actual,1616370,replay,N,,,,2647,N,1,,closed,sl,after0902,2026-09-23,12154.1,-3.00,1,-48491,
A_sim,AS-0017,main,book_pullback_ma5,332570,2026-09-22,band_touch,9393,179,actual,1681347,replay,N,,,,2639,N,1,,closed,sl,after0902,2026-09-23,8870,-5.57,1,-93617,entry_day_touch_skipped(진입 시각 불명) · sl_gap_open(라이브는 09:05 이후 가격)
A_sim,AS-0018,main,daytrading_3methods_breakout,086960,2026-09-22,D_open,2155,512,actual,1103360,replay,N,,,,2643,N,1,,open,open,,2026-09-23,2045,-5.10,1,-56320,mark_to_market(마지막 종가)
A_sim,AS-0019,main,daytrading_3methods_breakout,099750,2026-09-22,D_open,7670,142,actual,1089140,replay,N,,,,2628,N,1,,open,open,,2026-09-23,7230,-5.74,1,-62480,mark_to_market(마지막 종가)
A_sim,AS-0020,main,daytrading_3methods_breakout,223250,2026-09-22,D_open,3630,313,actual,1136190,replay,N,,,,2637,N,1,,closed,sl,after0902,2026-09-23,3267,-10.00,1,-113619,
A_sim,AS-0021,main,deep_mr_dev20,475830,2026-09-22,D_open,27100,48,actual,1300800,replay,N,,,,2635,N,1,,closed,sl,entry_day,2026-09-22,25203,-7.00,0,-91056,
A_sim,AS-0022,main,elder_ema_pullback,108490,2026-09-22,band_touch,311500,1,actual,311500,replay,N,,,,2653,N,1,,open,open,,2026-09-23,301000,-3.37,1,-10500,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
A_sim,AS-0023,main,elder_ema_pullback,131290,2026-09-22,D_open,275000,1,actual,275000,replay,N,,,,2641,N,1,,open,open,,2026-09-23,289000,+5.09,1,14000,mark_to_market(마지막 종가)
A_sim,AS-0024,main,rs_leader,017900,2026-09-22,D_open,10570,62,actual,655340,replay,N,,,,2632,N,1,,closed,sl,after0902,2026-09-23,9724.4,-8.00,1,-52427,
A_sim,AS-0025,main,rs_leader,020120,2026-09-22,D_open,8110,79,actual,640690,replay,N,,,,2640,N,1,,closed,sl,entry_day,2026-09-22,7461.2,-8.00,0,-51255,
A_sim,AS-0026,main,book_pullback_ma20,024060,2026-09-23,D_open,12530,71,actual,889630,replay,N,,,,2659,N,1,,open,open,,2026-09-23,12360,-1.36,0,-12070,mark_to_market(마지막 종가)
