variant,strategy,t,tag,n_with,n_without,delta,se,p_raw
Dx,daytrading,5,최대주주변경,48,14913,-0.4041605891780179,1.4249684722764813,0.7766956753191753
Dx,daytrading,6,잠정실적,470,14491,0.10378571063069181,0.41574047937959974,0.802865283434588
Dx,daytrading,7,소송·횡령,39,14922,-1.9484583686059562,1.2788718811673219,0.12761468894247893
W5_corr,ma20,1,유상증자,197,19148,0.27180049209036095,0.6664408531597257,0.6833919661846981
W5_corr,ma20,2,CB/BW/EB,199,19146,-1.0400940341110005,0.6536865363353631,0.11158246478574181
W5_corr,ma20,3,자기주식취득,92,19253,0.8468309541184369,0.9314108821734677,0.3632489952073753
W5_corr,ma20,4,공급계약,705,18640,0.6355172201540513,0.3763352638056642,0.09127700689105848
W5_corr,ma20,5,최대주주변경,58,19287,0.12299985529471719,1.1416392756934957,0.9142021890947598
W5_corr,ma20,6,잠정실적,701,18644,-0.33603130014360993,0.35964643183175565,0.35012960815363786
W5_corr,ma20,7,소송·횡령,60,19285,-0.9289185322568898,1.1418760696829375,0.41593026704039104
W5_corr,minervini,1,유상증자,13,2019,3.3682673628654345,2.8225567479089735,0.2327365906056296
W5_corr,minervini,2,CB/BW/EB,16,2016,-0.01552283180431463,2.7351347514546207,0.9954717546028793
W5_corr,minervini,3,자기주식취득,9,2023,1.11580689929955,2.8222653909680218,0.6925782564714567
W5_corr,minervini,4,공급계약,115,1917,-0.5273291670542549,1.0462372380464633,0.6142441831513623
W5_corr,minervini,5,최대주주변경,7,2025,-0.5643245018102782,3.615880228727733,0.8759791367892598
W5_corr,minervini,6,잠정실적,81,1951,-1.0150732310558577,1.0980718525921727,0.35527069580672355
W5_corr,minervini,7,소송·횡령,7,2025,-9.955156595706214,1.4978365170994106,3.004355435845665e-11
W5_corr,daytrading,1,유상증자,255,14706,-0.2598703426101499,0.6322602259146963,0.6810593255052898
W5_corr,daytrading,2,CB/BW/EB,188,14773,0.7788043366936437,0.6872965008386013,0.25715474522013787
W5_corr,daytrading,3,자기주식취득,190,14771,0.9323887402357038,0.5434207328110044,0.08620288368830856
W5_corr,daytrading,4,공급계약,463,14498,0.03527689387567057,0.4549609885712293,0.9381953375175399
W5_corr,daytrading,5,최대주주변경,94,14867,-2.6223242746384283,0.926401366043946,0.0046452543960755046
W5_corr,daytrading,6,잠정실적,644,14317,0.20064147077694178,0.3697092895350108,0.5873359284229416
W5_corr,daytrading,7,소송·횡령,50,14911,-1.0142806604425967,1.030527914043995,0.3250004485191568
W5_band_ok,ma20,1,유상증자,45,14381,0.5406322271611339,1.3823112607871102,0.6957178168228209
W5_band_ok,ma20,2,CB/BW/EB,90,14336,0.6963440209472631,1.0367356579395348,0.5017939381545332
W5_band_ok,ma20,3,자기주식취득,68,14358,1.2561916332484784,1.1070994355456572,0.25651394598827343
W5_band_ok,ma20,4,공급계약,262,14164,0.7946662820560153,0.5434680243183665,0.14368271330399168
W5_band_ok,ma20,5,최대주주변경,26,14400,-0.4998692328883646,1.8057079323689191,0.7819127255952543
W5_band_ok,ma20,6,잠정실적,485,13941,-0.4272878253700521,0.42555024550133214,0.3153385428482965
W5_band_ok,ma20,7,소송·횡령,37,14389,-1.1221218369519108,1.3938520771354417,0.420790321218533
W5_band_ok,minervini,1,유상증자,3,2308,-1.097205947391224,5.457422404458424,0.8406607425402417
W5_band_ok,minervini,2,CB/BW/EB,10,2301,5.780863232444887,2.597641766143303,0.026052558014176098
W5_band_ok,minervini,3,자기주식취득,9,2302,0.867194375490469,2.8203963472973856,0.7584837356319536
W5_band_ok,minervini,4,공급계약,74,2237,0.9860614243634427,1.4704028271284677,0.5024713572381105
W5_band_ok,minervini,5,최대주주변경,7,2304,-0.8118873537518487,3.6217651203100685,0.8226258280333064
W5_band_ok,minervini,6,잠정실적,78,2233,-1.8431565139121726,1.1238869895862185,0.10100852460939619
W5_band_ok,minervini,7,소송·횡령,7,2304,-6.455120439423148,3.0643836164027576,0.035161046425939216
W5_band_ok,daytrading,1,유상증자,98,12852,0.014780732951704234,0.9693304009454384,0.9878340124211363
W5_band_ok,daytrading,2,CB/BW/EB,102,12848,-0.4578222972985966,1.0613957777881144,0.6662212776809264
W5_band_ok,daytrading,3,자기주식취득,179,12771,0.6504140680512778,0.5624365642810384,0.24750854970214234
W5_band_ok,daytrading,4,공급계약,220,12730,0.7909877922277276,0.6756377507706514,0.24170826978308754
W5_band_ok,daytrading,5,최대주주변경,60,12890,-1.4893164671834422,1.3235986380626774,0.2605032434041652
W5_band_ok,daytrading,6,잠정실적,560,12390,-0.002659901828513042,0.38602511910972637,0.9945022287326217
W5_band_ok,daytrading,7,소송·횡령,37,12913,-1.8026563715809232,1.207082379378385,0.13533261131868599
