control,cell,n,n_codes,delta,t,want_gap,want_gap_row_max_abs,realized_depth_gap
c1,low-lb60-mg0.5|exo|c0.6,17606,2375,0.004353426510078237,4.426529334236078,-0.0002804631418746628,0.46357243833485373,0.012342895193909539
c1,low-lb120-mg0.3|exo|c0.8,16938,2452,0.0037360076296782075,4.367618647889236,-0.00018633572771675611,0.47466609000732496,0.022734131581210678
c1,low-lb120-mg0.3|exo|c1.0,16938,2452,0.003329180113886303,3.9412491810151415,-0.0009902134609444523,0.5379464370557242,0.01855227238132181
c1,low-lb60-mg0.5|pit|c0.8,16684,2355,0.003066334650787391,3.661191300355851,-0.0008675547545972469,0.3175349352733484,0.007403199159551205
c1,low-lb60-mg0.5|pit|c1.0,16684,2355,0.0022691955660018477,2.7975260649111218,-9.596776408430669e-05,0.3278091731626508,0.006503747512116132
c2,low-lb120-mg0.3|pit|c0.6,16180,2449,0.007695232988893699,11.970779168495852,-2.8647596587206604e-19,1.6653345369377348e-16,0.020239319812991353
c2,low-lb60-mg0.3|pit|c1.0,25872,2516,0.007205019145911019,11.577594089647919,6.544102166641016e-20,2.220446049250313e-16,0.006441318267804888
c2,low-lb120-mg0.3|pit|c0.8,16180,2449,0.006972726880981667,11.199735588473812,3.6367008841244313e-19,1.6653345369377348e-16,0.014811087316558398
c2,low-lb60-mg0.3|exo|c1.0,27404,2521,0.006487107855542708,11.15482808457666,1.559757205082051e-19,1.6653345369377348e-16,0.004532905603388885
c2,low-lb60-mg0.5|pit|c1.0,16684,2355,0.00835458071726486,10.803898898351104,-6.488057114657921e-20,2.220446049250313e-16,0.007551036937318054
c2,low-lb60-mg0.3|pit|c0.8,25872,2516,0.007069536800724047,10.462160858572522,4.183934172114748e-20,1.6653345369377348e-16,0.012612766067861395
c2,low-lb60-mg0.5|exo|c1.0,17606,2375,0.007849185982022406,10.246072216154959,1.0404793767076612e-19,1.6653345369377348e-16,0.005231903058414374
c2,low-lb60-mg0.3|pit|c0.6,25872,2516,0.006260932341135768,10.154103410017893,-1.1693559609243782e-19,1.6653345369377348e-16,0.018004560351921484
c2,low-lb60-mg0.3|exo|c0.8,27404,2521,0.004419750803992687,9.796235430517443,4.962863834351981e-19,1.6653345369377348e-16,0.008626668582645446
c2,low-lb120-mg0.3|pit|c1.0,16180,2449,0.006143383591979003,9.778730175896797,5.300663081105892e-19,1.942890293094024e-16,0.00733138130971442
c2,low-lb60-mg0.5|pit|c0.6,16684,2355,0.007477170607732918,9.31442314553795,-2.445498450909524e-19,1.6653345369377348e-16,0.020269484864815435
c2,low-lb120-mg0.3|exo|c1.0,16938,2452,0.004748686914538894,8.786164951026372,3.3264741114492085e-19,1.942890293094024e-16,0.005352727179852278
c2,low-lb60-mg0.5|pit|c0.8,16684,2355,0.007649666210671698,8.636401760331138,-3.6100215227712026e-19,1.6653345369377348e-16,0.014490196283578683
c2,low-lb120-mg0.3|exo|c0.6,16938,2452,0.004748950740668234,8.541617505167995,3.900004130664589e-19,2.220446049250313e-16,0.014469002666976755
c2,low-lb120-mg0.3|exo|c0.8,16938,2452,0.004769530872884427,8.378335910830232,2.0647080691753708e-19,1.6653345369377348e-16,0.01048597873565307
c2,low-lb60-mg0.5|exo|c0.8,17606,2375,0.005149007854705972,8.07120629694011,4.650627517102425e-19,1.6653345369377348e-16,0.010051284356524524
c2,low-lb60-mg0.5|exo|c0.6,17606,2375,0.004862102356491231,6.818748876413287,3.1529678082050337e-19,2.220446049250313e-16,0.01358562380777712
c2,low-lb60-mg0.3|exo|c0.6,27404,2521,0.003435626527297578,6.126118780451251,1.8534777177273724e-19,2.220446049250313e-16,0.01184179589059159
