pool,arm,ctrl,k,D_est,sd_delta,sd_abs,se_date_rel,se_stock_rel,se_date_abs,se_stock_abs,cbb_rel,cbb_abs,G_stock,D_target,N_target,acf1_rel,acf1_abs,vif_rel,vif_abs
top100_T1,rel_CB,rest,1,292,0.03811063963414192,0.039075022125155075,0.0022302564915791467,0.002208178648275958,0.0022866927081211666,0.002252666681070473,0.002213863350166518,0.002260905213403981,2346,633,1162,-0.004489213743913296,0.01418858859625834,0.991035756441854,1.0283323475287054
top100_T1,rel_CB,rest,5,292,0.0870680431276698,0.09197465266346153,0.005095271825892323,0.005086814921006237,0.005382409430348592,0.005319013689824624,0.005108311553411459,0.005774098810163322,2346,633,1162,-0.015121106289553155,0.06543725888140726,1.0397859027864618,1.2638243141738563
top100_T1,rel_CB,rest,20,292,0.1651041291371914,0.17175015342093225,0.009661988340517486,0.009611319015123191,0.010050917493748672,0.01007928137953128,0.009684731418894867,0.012678495564888948,2346,633,1162,0.008498704242007838,0.10217925806378177,0.8297130638259204,2.168553041008875
top100_T1,rel_CB,10,1,292,0.04144362605930962,0.03993997617910205,0.002425304768974525,0.0023146975673846186,0.002337310315494115,0.002315210324414438,0.002403181267349746,0.0022964811045322296,1567,633,1162,-0.01829810333477585,0.0005453413056103494,0.9634616072430384,1.0010889595739203
top100_T1,rel_CB,10,5,292,0.09204301952473622,0.09157470648743608,0.005386410298285486,0.005137039815039002,0.005359004350719229,0.00526518939949159,0.005167075210368255,0.005532486521912876,1569,633,1162,-0.007886371607013899,0.07958377774918296,0.940877065123929,1.1750010292888828
top100_T1,rel_CB,10,20,292,0.168214358731179,0.1632192569198619,0.009844000760379317,0.009487586094145324,0.009551684537200305,0.009583060834689522,0.009025549932414197,0.012431650763216428,1566,633,1162,-0.0037050833330915856,0.09106162433468933,0.7774715396449163,2.650286394100373
top100_T1,abs_ALL,rest,1,292,0.036569993281046,0.03755862138381727,0.0021400969832842055,0.0021145167759208648,0.002197952066933547,0.002154381839371916,0.0021307916219357632,0.002163285041855292,2346,661,1361,-0.007528197145210499,0.012528249402666997,0.9849663839157672,1.0250185918479886
top100_T1,abs_ALL,rest,5,292,0.08390240055575678,0.08900731106783469,0.0049100166067775185,0.004899379017671093,0.0052087588981111115,0.005122160589879904,0.004916323825579594,0.005633591934194489,2346,661,1361,-0.015648512033624072,0.07270213090506786,1.038845247745456,1.2971918127911295
top100_T1,abs_ALL,rest,20,292,0.15852192310452107,0.16532171087152245,0.009276793867944971,0.009241025994403797,0.009674721348415,0.00969756561444628,0.008897651313916033,0.012018428189865689,2346,661,1361,-0.0037240240765894876,0.09324509323585636,0.798653432759289,2.2409628112617677
top200_T1,rel_CB,rest,1,292,0.035889061982672596,0.03677982288071182,0.002100248493122519,0.0020895455034690025,0.002152376331814502,0.002135700853138146,0.00207474204996508,0.0021165667992709323,2425,633,1162,-0.02064455975586047,-0.012567954506823997,0.9587761081652328,0.9749038001633088
